iter	Passed	Remaining
731	4645	1700
732	4651	1694
733	4657	1687
734	4663	1681
735	4669	1674
736	4675	1668
737	4680	1661
738	4686	1655
739	4693	1648
740	4699	1642
741	4705	1636
742	4711	1629
743	4717	1623
744	4723	1616
745	4730	1610
746	4736	1604
747	4743	1598
748	4749	1591
749	4755	1585
750	4762	1579
751	4768	1572
752	4774	1566
753	4780	1559
754	4787	1553
755	4793	1547
756	4799	1540
757	4806	1534
758	4812	1528
759	4818	1521
760	4824	1515
761	4830	1508
762	4836	1502
763	4842	1495
764	4848	1489
765	4854	1482
766	4860	1476
767	4866	1470
768	4873	1463
769	4879	1457
770	4885	1451
771	4891	1444
772	4897	1438
773	4904	1432
774	4910	1425
775	4916	1419
776	4922	1412
777	4928	1406
778	4934	1399
779	4940	1393
780	4945	1386
781	4952	1380
782	4958	1374
783	4964	1367
784	4970	1361
785	4976	1354
786	4982	1348
787	4988	1342
788	4994	1335
789	5000	1329
790	5005	1322
791	5011	1316
792	5017	1309
793	5023	1303
794	5029	1296
795	5034	1290
796	5041	1284
797	5046	1277
798	5053	1271
799	5059	1264
800	5065	1258
801	5072	1252
802	5078	1245
803	5084	1239
804	5090	1233
805	5096	1226
806	5103	1220
807	5109	1214
808	5116	1207
809	5123	1201
810	5129	1195
811	5136	1189
812	5142	1182
813	5149	1176
814	5155	1170
815	5161	1163
816	5167	1157
817	5173	1151
818	5180	1144
819	5186	1138
820	5192	1132
821	5198	1125
822	5204	1119
823	5210	1112
824	5216	1106
825	5222	1100
826	5228	1093
827	5233	1087
828	5239	1080
829	5246	1074
830	5251	1068
831	5257	1061
832	5263	1055
833	5269	1048
834	5275	1042
835	5281	1036
836	5287	1029
837	5293	1023
838	5299	1016
839	5305	1010
840	5310	1004
841	5316	997
842	5322	991
843	5328	984
844	5334	978
845	5340	972
846	5346	965
847	5352	959
848	5358	953
849	5365	946
850	5373	940
851	5378	934
852	5384	927
853	5390	921
854	5396	915
855	5402	908
856	5408	902
857	5414	896
858	5420	889
859	5427	883
860	5432	877
861	5438	870
862	5444	864
863	5449	857
864	5455	851
865	5461	845
866	5467	838
867	5473	832
868	5479	825
869	5485	819
870	5491	813
871	5497	807
872	5503	800
873	5510	794
874	5517	788
875	5523	781
876	5530	775
877	5537	769
878	5543	763
879	5550	756
880	5557	750
881	5563	744
882	5569	738
883	5578	731
884	5584	725
885	5590	719
886	5597	713
887	5603	706
888	5610	700
889	5616	694
890	5622	687
891	5628	681
892	5634	675
893	5640	668
894	5645	662
895	5651	655
896	5656	649
897	5662	643
898	5668	636
899	5673	630
900	5679	624
901	5685	617
902	5690	611
903	5696	604
904	5702	598
905	5708	592
906	5713	585
907	5719	579
908	5725	573
909	5731	566
910	5736	560
911	5742	554
912	5748	547
913	5754	541
914	5759	535
915	5765	528
916	5771	522
917	5777	516
918	5783	509
919	5789	503
920	5794	497
921	5800	490
922	5805	484
923	5811	477
924	5818	471
925	5824	465
926	5830	459
927	5836	452
928	5842	446
929	5848	440
930	5853	433
931	5859	427
932	5865	421
933	5871	414
934	5876	408
935	5882	402
936	5888	395
937	5894	389
938	5901	383
939	5907	377
940	5913	370
941	5919	364
942	5924	358
943	5930	351
944	5937	345
945	5945	339
946	5952	333
947	5959	326
948	5966	320
949	5974	314
950	5981	308
951	5988	301
952	5994	295
953	6001	289
954	6007	283
955	6013	276
956	6019	270
957	6025	264
958	6030	257
959	6036	251
960	6041	245
961	6047	238
962	6053	232
963	6059	226
964	6065	219
965	6071	213
966	6077	207
967	6083	201
968	6089	194
969	6095	188
970	6100	182
971	6106	175
972	6112	169
973	6117	163
974	6124	157
975	6130	150
976	6135	144
977	6141	138
978	6148	131
979	6154	125
980	6160	119
981	6165	113
982	6171	106
983	6177	100
984	6183	94
985	6188	87
986	6194	81
987	6200	75
988	6206	69
989	6212	62
990	6217	56
991	6223	50
992	6230	43
993	6235	37
994	6242	31
995	6248	25
996	6253	18
997	6260	12
998	6266	6
999	6272	0
