iter	Logloss
0	0.6910070313
1	0.6879061201
2	0.6857447225
3	0.6808665342
4	0.6802279787
5	0.6778751941
6	0.6764209458
7	0.6699519
8	0.6696785647
9	0.6661160158
10	0.6642404748
11	0.6631647569
12	0.6622220174
13	0.6598735653
14	0.6566017271
15	0.6537780868
16	0.6515438037
17	0.6500561968
18	0.6453952392
19	0.6393990494
20	0.6369000194
21	0.6350971346
22	0.6317982493
23	0.630057601
24	0.6252227238
25	0.6242911207
26	0.6187432303
27	0.6170654144
28	0.615583889
29	0.6091850196
30	0.6081415385
31	0.6075146959
32	0.6062640342
33	0.6053753158
34	0.6041390114
35	0.6008921915
36	0.6000037536
37	0.5950629663
38	0.594725145
39	0.5930140434
40	0.5922782613
41	0.5889014875
42	0.587543891
43	0.5833990928
44	0.5822452697
45	0.5811107635
46	0.5805097682
47	0.5792765578
48	0.5780960077
49	0.5765521007
50	0.5755573407
51	0.57396665
52	0.5730758031
53	0.5721943208
54	0.5717688746
55	0.5712885761
56	0.5681239189
57	0.5675886921
58	0.566907894
59	0.563631631
60	0.5630178893
61	0.5623945289
62	0.559166132
63	0.5584675919
64	0.5570631724
65	0.5564086495
66	0.5557282701
67	0.5554439276
68	0.5543375992
69	0.5532490897
70	0.5519671422
71	0.5513519598
72	0.5501325195
73	0.5497489304
74	0.5473874925
75	0.5442820229
76	0.5433373539
77	0.5426392422
78	0.5424870202
79	0.5415737382
80	0.5408898998
81	0.5401935931
82	0.5382498809
83	0.5381583437
84	0.5374346031
85	0.5366369443
86	0.5363629728
87	0.5358249211
88	0.5350962467
89	0.5347223914
90	0.5341068721
91	0.5336683638
92	0.5319324307
93	0.531781549
94	0.5317124702
95	0.5313045724
96	0.5308307555
97	0.5306011564
98	0.5304497755
99	0.5283880396
100	0.5279945426
101	0.52737922
102	0.5270908455
103	0.525339933
104	0.5250806386
105	0.5245405559
106	0.5243056231
107	0.5221085089
108	0.52195929
109	0.5215619209
110	0.5212837988
111	0.5209152745
112	0.5203849763
113	0.5189478178
114	0.5188312092
115	0.5184735838
116	0.5171419893
117	0.5157608857
118	0.515262246
119	0.5151081354
120	0.514834732
121	0.5144007333
122	0.5142215214
123	0.5138463221
124	0.5135661763
125	0.5132126864
126	0.512805881
127	0.5123893189
128	0.512001318
129	0.511743491
130	0.5115450866
131	0.5113244736
132	0.5110869787
133	0.5108929084
134	0.5106974692
135	0.5099518883
136	0.5095869926
137	0.5093845099
138	0.5089503391
139	0.508833867
140	0.5085413785
141	0.508211427
142	0.5079211179
143	0.5067920415
144	0.5065589315
145	0.5060915503
146	0.5060627345
147	0.5056562489
148	0.5053142386
149	0.5049387995
150	0.5045149006
151	0.5042326953
152	0.503914249
153	0.5034978175
154	0.5032292576
155	0.5028333328
156	0.5027783838
157	0.5027236025
158	0.5025977006
159	0.5020505302
160	0.5019715838
161	0.5017293226
162	0.501295393
163	0.5012072023
164	0.5008398017
165	0.499677356
166	0.4994230805
167	0.4991578073
168	0.4986429684
169	0.4982876375
170	0.4980575072
171	0.4978871014
172	0.4977203401
173	0.497441891
174	0.4971246417
175	0.4961178439
176	0.4956395613
177	0.4954317323
178	0.4943415472
179	0.4941094315
180	0.4935831729
181	0.4933066025
182	0.4924421357
183	0.492206625
184	0.4917340689
185	0.4908633902
186	0.4906065927
187	0.4902563923
188	0.4897837666
189	0.4895936598
190	0.4893393648
191	0.4890021967
192	0.4886734917
193	0.4882510286
194	0.487952647
195	0.4876274436
196	0.4873509428
197	0.4871012916
198	0.4867001321
199	0.4858753388
200	0.485666642
201	0.4854028841
202	0.4853049309
203	0.4850913932
204	0.4843887761
205	0.4841774509
206	0.4839750065
207	0.4831670641
208	0.4823219075
209	0.4820610059
210	0.4813773304
211	0.4812515976
212	0.4808757896
213	0.4806700964
214	0.4801313115
215	0.4797430429
216	0.4796006842
217	0.4793675212
218	0.4785019585
219	0.478495939
220	0.4780970436
221	0.477977271
222	0.4778059178
223	0.4769151302
224	0.4767072347
225	0.476433395
226	0.4764203223
227	0.4762928844
228	0.4756867254
229	0.4755108941
230	0.474577776
231	0.474398269
232	0.4738888827
233	0.4736504015
234	0.4731189089
235	0.4729205706
236	0.472778011
237	0.4726276107
238	0.4720380488
239	0.4717933089
240	0.4715921839
241	0.4712789039
242	0.470922424
243	0.4705681222
244	0.4702952341
245	0.4702606124
246	0.4701243241
247	0.469930687
248	0.4699285875
249	0.4697608522
250	0.4695652696
251	0.4693348066
252	0.4689987824
253	0.4686145927
254	0.4684439639
255	0.4682819879
256	0.4680232583
257	0.4676394982
258	0.4670594001
259	0.4667275364
260	0.4661714442
261	0.4659845109
262	0.4657690768
263	0.4656590941
264	0.4653833806
265	0.4651831703
266	0.4649810101
267	0.4647101233
268	0.4646808009
269	0.4644515394
270	0.4642341972
271	0.4641061541
272	0.4641039535
273	0.4639385011
274	0.4637611185
275	0.4636116698
276	0.4633360631
277	0.4631871105
278	0.462998473
279	0.4626776703
280	0.4624835617
281	0.4623743652
282	0.4623208219
283	0.4620921735
284	0.4616789905
285	0.4613943334
286	0.461211693
287	0.4608051368
288	0.460696877
289	0.4605472082
290	0.4602330653
291	0.4602305021
292	0.4598104459
293	0.459468691
294	0.459212377
295	0.458893422
296	0.458727715
297	0.4585517957
298	0.4582927993
299	0.4580227133
300	0.457831671
301	0.4575280997
302	0.4575128673
303	0.4572708038
304	0.4570504903
305	0.4566207452
306	0.4562071082
307	0.4559823163
308	0.4556762222
309	0.4554359674
310	0.4551505888
311	0.4549839828
312	0.4544240912
313	0.4541612482
314	0.4539831904
315	0.4537592364
316	0.4534903734
317	0.4533384762
318	0.4530015487
319	0.452604523
320	0.4525182768
321	0.4524029481
322	0.4522154318
323	0.4521519862
324	0.4520418219
325	0.4518941646
326	0.4515339802
327	0.4514459947
328	0.451187542
329	0.4508603854
330	0.450615521
331	0.4504025347
332	0.4499425201
333	0.4497547989
334	0.449643637
335	0.449424502
336	0.4492593267
337	0.449060278
338	0.4490113857
339	0.4486947657
340	0.4485108932
341	0.4480925582
342	0.4476109406
343	0.4474259417
344	0.4471381745
345	0.4469317754
346	0.4466738659
347	0.4465364135
348	0.4463524837
349	0.4462516136
350	0.4461211629
351	0.4459518304
352	0.4458361202
353	0.4457717012
354	0.4456580382
355	0.4454588608
356	0.4452300487
357	0.4450540101
358	0.4447936279
359	0.444786284
360	0.4446420921
361	0.4445112319
362	0.4443368235
363	0.4439011467
364	0.4437450142
365	0.4437076482
366	0.4435281856
367	0.4433727919
368	0.4430564999
369	0.442921181
370	0.4427257806
371	0.4425586195
372	0.4423175463
373	0.442180707
374	0.4419993454
375	0.4417689734
376	0.4415487877
377	0.4414489148
378	0.4412351653
379	0.4407562854
